Assembly_Accession,Accession,Genome_Size_bp
GCA_000256405.2,GCA_000256405.2,4892674
GCA_000256445.2,GCA_000256445.2,4910942
GCA_000256465.2,GCA_000256465.2,5182207
GCA_000264435.2,GCA_000264435.2,5001806
GCA_000264745.2,GCA_000264745.2,9194165
GCA_000286835.2,GCA_000286835.2,5181803
GCA_000286875.2,GCA_000286875.2,5491446
GCA_000286895.2,GCA_000286895.2,5629095
GCA_000286915.2,GCA_000286915.2,5457634
GCA_000286935.2,GCA_000286935.2,4451541
GCA_000272045.2,GCA_000272045.2,5009683
GCA_000272245.2,GCA_000272245.2,5458218
GCA_000272345.2,GCA_000272345.2,5590424
GCA_000272305.2,GCA_000272305.2,5272753
GCA_000272405.3,GCA_000272405.3,5350034
GCA_000272385.2,GCA_000272385.2,5193878
GCA_000282475.1,GCA_000282475.1,7287561
GCA_000282355.1,GCA_000282355.1,6589890
GCA_000282295.1,GCA_000282295.1,6727223
GCA_000294445.2,GCA_000294445.2,5874759
GCA_000334195.1,GCA_000334195.1,5076254
GCA_000341445.1,GCA_000341445.1,5048917
GCA_000299295.2,GCA_000299295.2,2712396
GCA_000333895.2,GCA_000333895.2,5555590
GCA_000337695.1,GCA_000337695.1,4496185
GCA_001909305.1,GCA_001909305.1,5430661
GCA_000390005.2,GCA_000390005.2,5625016
GCA_000010805.1,GCA_000010805.1,8834939
GCA_000412675.1,GCA_000412675.1,6156701
GCA_000828695.1,GCA_000828695.1,6827892
GCA_016592435.1,GCA_016592435.1,3833046
GCA_016592555.1,GCA_016592555.1,4095481
GCA_002356095.1,GCA_002356095.1,7467685
GCA_030294925.1,GCA_030294925.1,6696066
GCA_033095865.1,GCA_033095865.1,5869691
GCA_007182835.1,GCA_007182835.1,5774811
GCA_014162535.1,GCA_014162535.1,5575079
GCA_009938265.1,GCA_009938265.1,7982451
GCA_012151155.1,GCA_012151155.1,5185395
GCA_012151295.1,GCA_012151295.1,5185395
GCA_012151455.1,GCA_012151455.1,5185324
GCA_012151595.1,GCA_012151595.1,5185324
GCA_018326105.1,GCA_018326105.1,2298556
GCA_023169605.1,GCA_023169605.1,5145821
GCA_023169625.1,GCA_023169625.1,5338402
GCA_015097735.1,GCA_015097735.1,6837097
GCA_016591715.1,GCA_016591715.1,6690860
GCA_018326365.1,GCA_018326365.1,6968016
GCA_018326405.1,GCA_018326405.1,6945475
GCA_024349685.1,GCA_024349685.1,6034532
GCA_026000495.1,GCA_026000495.1,5423024
GCA_027924725.1,GCA_027924725.1,6757626
GCA_027924785.1,GCA_027924785.1,6389377
GCA_027924845.1,GCA_027924845.1,6441463
GCA_040436395.1,GCA_040436395.1,3256386
GCA_042848055.1,GCA_042848055.1,5783551
GCA_042848125.1,GCA_042848125.1,6289143
GCA_000367825.1,GCA_000367825.1,6315212
GCA_002741985.1,GCA_002741985.1,5368584
GCA_000408945.1,GCA_000408945.1,7204561
GCA_040361355.1,GCA_040361355.1,4373879
GCA_002210125.1,GCA_002210125.1,3418355
GCA_000416315.1,GCA_000416315.1,4649842
GCA_000417905.1,GCA_000417905.1,5130031
GCA_000473545.1,GCA_000473545.1,5090015
GCA_000498575.2,GCA_000498575.2,5454863
GCA_000511875.1,GCA_000511875.1,2605026
GCA_039522485.1,GCA_039522485.1,2863168
GCA_039522585.1,GCA_039522585.1,4349552
GCA_039522625.1,GCA_039522625.1,3993413
GCA_039522765.1,GCA_039522765.1,4864385
GCA_039523155.1,GCA_039523155.1,4035704
GCA_039525725.1,GCA_039525725.1,10470893
GCA_039530485.1,GCA_039530485.1,3033138
GCA_039534795.1,GCA_039534795.1,5861118
GCA_039537045.1,GCA_039537045.1,2583577
GCA_039537755.1,GCA_039537755.1,4673062
GCA_039539325.1,GCA_039539325.1,3815557
GCA_039539745.1,GCA_039539745.1,3803359
GCA_039542305.1,GCA_039542305.1,3775857
GCA_039543745.1,GCA_039543745.1,3573041
GCA_039544775.1,GCA_039544775.1,4751873
GCA_040371315.1,GCA_040371315.1,4557808
GCA_040369695.1,GCA_040369695.1,4063151
GCA_040369735.1,GCA_040369735.1,4939174
GCA_040370365.1,GCA_040370365.1,4329775
GCA_040365955.1,GCA_040365955.1,4773635
GCA_000467125.1,GCA_000467125.1,4745539
GCA_000467145.1,GCA_000467145.1,5049668
GCA_000583735.1,GCA_000583735.1,10403277
GCA_000586455.1,GCA_000586455.1,3274327
GCA_000699205.1,GCA_000699205.1,5982827
GCA_000695035.1,GCA_000695035.1,5270185
GCA_000695055.1,GCA_000695055.1,5156544
GCA_002072155.1,GCA_002072155.1,4584578
GCA_003203495.1,GCA_003203495.1,6265473
GCA_003851765.1,GCA_003851765.1,9536874
GCA_006538425.1,GCA_006538425.1,6181216
GCA_006540005.1,GCA_006540005.1,3253825
GCA_006540245.1,GCA_006540245.1,6981783
GCA_007990935.1,GCA_007990935.1,4476604
GCA_007991155.1,GCA_007991155.1,4924734
GCA_009811795.1,GCA_009811795.1,4471068
GCA_015082235.1,GCA_015082235.1,4983333
GCA_015082335.1,GCA_015082335.1,4967310
GCA_014636435.1,GCA_014636435.1,4127297
GCA_014643735.1,GCA_014643735.1,4190336
GCA_014643915.1,GCA_014643915.1,3367179
GCA_014645335.1,GCA_014645335.1,4557337
GCA_014645375.1,GCA_014645375.1,5546883
GCA_014646975.1,GCA_014646975.1,4671747
GCA_014647575.1,GCA_014647575.1,5924036
GCA_014652055.1,GCA_014652055.1,3551707
GCA_014652355.1,GCA_014652355.1,4037198
GCA_014652895.1,GCA_014652895.1,3366654
GCA_014653135.1,GCA_014653135.1,3989276
GCA_018333155.1,GCA_018333155.1,6559018
GCA_019649495.1,GCA_019649495.1,1331769
GCA_019652335.1,GCA_019652335.1,2178039
GCA_019652375.1,GCA_019652375.1,1955141
GCA_019652475.1,GCA_019652475.1,374229
GCA_019652635.1,GCA_019652635.1,1037374
GCA_022179845.1,GCA_022179845.1,8538346
GCA_022179885.1,GCA_022179885.1,9046084
GCA_023708045.1,GCA_023708045.1,3496394
GCA_033238805.1,GCA_033238805.1,5292722
GCA_030159475.1,GCA_030159475.1,6473766
GCA_030159495.1,GCA_030159495.1,6055601
GCA_030159535.1,GCA_030159535.1,6201866
GCA_030159555.1,GCA_030159555.1,6321123
GCA_033238845.1,GCA_033238845.1,4586952
GCA_033238885.1,GCA_033238885.1,3947069
GCA_030160215.1,GCA_030160215.1,6670746
GCA_030160355.1,GCA_030160355.1,5523542
GCA_030160675.1,GCA_030160675.1,4714586
GCA_030269825.1,GCA_030269825.1,6296222
GCA_030270585.1,GCA_030270585.1,5505440
GCA_042849475.1,GCA_042849475.1,5028979
GCA_042848625.1,GCA_042848625.1,5028721
GCA_042848905.1,GCA_042848905.1,5355788
GCA_902497625.1,GCA_902497625.1,5853376
GCA_902497725.1,GCA_902497725.1,6861507
GCA_902497825.1,GCA_902497825.1,7051069
GCA_902497855.1,GCA_902497855.1,7408731
GCA_902497915.1,GCA_902497915.1,7214667
GCA_902497875.1,GCA_902497875.1,7219127
GCA_902498135.1,GCA_902498135.1,6812631
GCA_902498045.1,GCA_902498045.1,6512546
GCA_902498095.1,GCA_902498095.1,6376713
GCA_902497965.1,GCA_902497965.1,7098510
GCA_902498195.1,GCA_902498195.1,6608123
GCA_902498205.1,GCA_902498205.1,7570449
GCA_902498255.1,GCA_902498255.1,6291618
GCA_902498245.1,GCA_902498245.1,7454519
GCA_902859945.1,GCA_902859945.1,8054104
GCA_903684265.1,GCA_903684265.1,5636099
GCA_903684275.1,GCA_903684275.1,5689804
GCA_903684455.1,GCA_903684455.1,5654051
GCA_903684435.1,GCA_903684435.1,5681393
GCA_903684535.1,GCA_903684535.1,5662947
GCA_903684575.1,GCA_903684575.1,5658633
GCA_903684565.1,GCA_903684565.1,5667286
GCA_903914075.1,GCA_903914075.1,4280014
GCA_905220795.1,GCA_905220795.1,9164992
GCA_911283405.1,GCA_911283405.1,6937981
GCA_927798455.1,GCA_927798455.1,5880248
GCA_928500655.1,GCA_928500655.1,6013003
GCA_928501225.1,GCA_928501225.1,6242381
GCA_928502195.1,GCA_928502195.1,5949057
GCA_928502355.1,GCA_928502355.1,6101053
GCA_928503255.1,GCA_928503255.1,5280579
GCA_928504885.1,GCA_928504885.1,5878541
GCA_928505045.1,GCA_928505045.1,6005065
GCA_928505175.1,GCA_928505175.1,5873102
GCA_928505225.1,GCA_928505225.1,5326159
GCA_928505955.1,GCA_928505955.1,5968573
GCA_928506015.1,GCA_928506015.1,7112036
GCA_928506355.1,GCA_928506355.1,5156365
GCA_928506835.1,GCA_928506835.1,5158443
GCA_928508715.1,GCA_928508715.1,5950469
GCA_928508745.1,GCA_928508745.1,7108623
GCA_928509615.1,GCA_928509615.1,5884003
GCA_001050595.1,GCA_001050595.1,6344256
GCA_001050615.1,GCA_001050615.1,6408358
GCA_001050635.1,GCA_001050635.1,6445886
GCA_001050655.1,GCA_001050655.1,6613003
GCA_900067775.1,GCA_900067775.1,6289963
GCA_900067765.1,GCA_900067765.1,6280541
GCA_001050675.1,GCA_001050675.1,6059397
GCA_001050695.1,GCA_001050695.1,6467988
GCA_900005135.1,GCA_900005135.1,6081850
GCA_001050715.1,GCA_001050715.1,6472478
GCA_949523485.1,GCA_949523485.1,2080472
GCA_949538535.1,GCA_949538535.1,1672914
GCA_949767825.1,GCA_949767825.1,6272403
GCA_949767755.1,GCA_949767755.1,6301045
GCA_949768175.1,GCA_949768175.1,6295284
GCA_949767605.1,GCA_949767605.1,6571779
GCA_963920535.1,GCA_963920535.1,5799249
GCA_964199265.1,GCA_964199265.1,5100625
GCA_965135965.1,GCA_965135965.1,5476539
GCA_965136465.1,GCA_965136465.1,5109070
GCA_965138085.1,GCA_965138085.1,3368599
GCA_965138405.1,GCA_965138405.1,4441311
GCA_965138485.1,GCA_965138485.1,4127096
GCA_965138815.1,GCA_965138815.1,3526076
GCA_965138685.1,GCA_965138685.1,4427875
GCA_965139295.1,GCA_965139295.1,3653016
GCA_001048675.1,GCA_001048675.1,5132517
GCA_000824745.1,GCA_000824745.1,7639275
GCA_000824785.1,GCA_000824785.1,7140341
GCA_001298755.1,GCA_001298755.1,7103723
GCA_000824765.1,GCA_000824765.1,7234236
GCA_000153445.1,GCA_000153445.1,2634266
GCA_000153025.1,GCA_000153025.1,5153226
GCA_000153345.1,GCA_000153345.1,3924755
GCA_000153425.1,GCA_000153425.1,6186325
GCA_000153325.1,GCA_000153325.1,4992772
GCA_000152625.1,GCA_000152625.1,3676244
GCA_000152965.1,GCA_000152965.1,4674070
GCA_000152845.1,GCA_000152845.1,4770736
GCA_000153505.1,GCA_000153505.1,5257379
GCA_000153005.1,GCA_000153005.1,4984034
GCA_001435295.1,GCA_001435295.1,3514998
GCA_000011965.2,GCA_000011965.2,4601048
GCA_000012265.1,GCA_000012265.1,7074893
GCA_000012325.1,GCA_000012325.1,5373180
GCA_000013905.1,GCA_000013905.1,3101097
GCA_000014065.1,GCA_000014065.1,4153699
GCA_000015285.1,GCA_000015285.1,4559598
GCA_000017705.1,GCA_000017705.1,6058377
GCA_000018145.1,GCA_000018145.1,4417868
GCA_000019525.1,GCA_000019525.1,5935403
GCA_000024465.1,GCA_000024465.1,2753527
GCA_000024825.1,GCA_000024825.1,5089025
GCA_000183645.1,GCA_000183645.1,5731541
GCA_000154745.2,GCA_000154745.2,4160918
GCA_000154765.2,GCA_000154765.2,4227134
GCA_000236645.1,GCA_000236645.1,5916782
GCA_000397205.1,GCA_000397205.1,6867980
GCA_000264665.2,GCA_000264665.2,6304310
GCA_000281215.1,GCA_000281215.1,6260702
GCA_000283275.1,GCA_000283275.1,4063864
GCA_000299115.1,GCA_000299115.1,1410127
GCA_000319575.2,GCA_000319575.2,1739487
GCA_000418305.1,GCA_000418305.1,3113999
GCA_000464435.1,GCA_000464435.1,6031829
GCA_000354175.2,GCA_000354175.2,5146637
GCA_000511355.1,GCA_000511355.1,4650996
GCA_000511385.1,GCA_000511385.1,4540155
GCA_000736435.1,GCA_000736435.1,10118052
GCA_000772105.1,GCA_000772105.1,5540337
GCA_000770115.2,GCA_000770115.2,5881490
GCA_000772065.1,GCA_000772065.1,6037824
GCA_000495455.2,GCA_000495455.2,6382434
GCA_001456255.1,GCA_001456255.1,5175153
GCA_000961515.1,GCA_000961515.1,9058983
GCA_002381305.1,GCA_002381305.1,4463194
GCA_002888685.1,GCA_002888685.1,4237605
GCA_002892225.1,GCA_002892225.1,4648923
GCA_002892025.1,GCA_002892025.1,4479935
GCA_002892205.1,GCA_002892205.1,4320988
GCA_002891985.1,GCA_002891985.1,4124503
GCA_002891965.1,GCA_002891965.1,4268701
GCA_002381325.1,GCA_002381325.1,4541872
GCA_002412025.1,GCA_002412025.1,4239045
GCA_002892185.1,GCA_002892185.1,4248079
GCA_002891905.1,GCA_002891905.1,4075118
GCA_002892045.1,GCA_002892045.1,4481611
GCA_002892005.1,GCA_002892005.1,4021447
GCA_002381285.1,GCA_002381285.1,4595280
GCA_002407245.1,GCA_002407245.1,4129511
GCA_002892245.1,GCA_002892245.1,4239045
GCA_002891665.1,GCA_002891665.1,4398636
GCA_002892065.1,GCA_002892065.1,4777546
GCA_002891925.1,GCA_002891925.1,4374969
GCA_002892085.1,GCA_002892085.1,4844543
GCA_002891945.1,GCA_002891945.1,4429187
GCA_002892165.1,GCA_002892165.1,4103784
GCA_002892265.1,GCA_002892265.1,4109120
GCA_002892125.1,GCA_002892125.1,4479933
GCA_002892145.1,GCA_002892145.1,4695825
GCA_002412045.1,GCA_002412045.1,4382816
GCA_002393525.1,GCA_002393525.1,4610090
GCA_002888715.1,GCA_002888715.1,4166832
GCA_000498395.3,GCA_000498395.3,6621848
GCA_001465295.1,GCA_001465295.1,4147593
GCA_001685435.3,GCA_001685435.3,2776927
GCA_001636035.1,GCA_001636035.1,5289960
GCA_001043175.1,GCA_001043175.1,3998597
GCA_001655295.1,GCA_001655295.1,6178825
GCA_002795845.1,GCA_002795845.1,3660060
GCA_001266795.1,GCA_001266795.1,4768422
GCA_001593285.1,GCA_001593285.1,3366617
GCA_001593305.1,GCA_001593305.1,3519144
GCA_002006545.1,GCA_002006545.1,7032394
GCA_001469735.1,GCA_001469735.1,5724939
GCA_001465835.2,GCA_001465835.2,3485580
GCA_001543265.1,GCA_001543265.1,5101809
GCA_002953395.1,GCA_002953395.1,5426154
GCA_001558435.2,GCA_001558435.2,6038929
GCA_002953535.1,GCA_002953535.1,5268677
GCA_002953975.1,GCA_002953975.1,5178268
GCA_002953515.1,GCA_002953515.1,5446027
GCA_002953355.1,GCA_002953355.1,5131801
GCA_002005305.1,GCA_002005305.1,6353406
GCA_001661075.1,GCA_001661075.1,6823539
GCA_002077155.1,GCA_002077155.1,3235441
GCA_002081995.1,GCA_002081995.1,3362333
GCA_002082015.1,GCA_002082015.1,3412428
GCA_000226035.3,GCA_000226035.3,6377271
GCA_002109365.1,GCA_002109365.1,3335999
GCA_001651805.1,GCA_001651805.1,5191608
GCA_002163755.1,GCA_002163755.1,5178103
GCA_000271965.2,GCA_000271965.2,6077201
GCA_001708505.1,GCA_001708505.1,6256697
GCA_001767335.1,GCA_001767335.1,5846746
GCA_001679745.1,GCA_001679745.1,5406094
GCA_001685465.1,GCA_001685465.1,4926076
GCA_001680025.1,GCA_001680025.1,5168686
GCA_001888185.1,GCA_001888185.1,4207221
GCA_001687805.1,GCA_001687805.1,4802851
GCA_001713395.1,GCA_001713395.1,6626583
GCA_001687545.1,GCA_001687545.1,2591679
GCA_001693615.1,GCA_001693615.1,5490011
GCA_000346225.2,GCA_000346225.2,5018820
GCA_002119505.2,GCA_002119505.2,5361115
GCA_003613035.1,GCA_003613035.1,5644206
GCA_002149105.1,GCA_002149105.1,5674090
GCA_002119545.1,GCA_002119545.1,5666255
GCA_003613065.1,GCA_003613065.1,5638198
GCA_002119565.1,GCA_002119565.1,5671999
GCA_002119585.1,GCA_002119585.1,5389178
GCA_002149085.1,GCA_002149085.1,5655141
GCA_002149065.1,GCA_002149065.1,5362829
GCA_003952685.1,GCA_003952685.1,6249209
GCA_003952645.1,GCA_003952645.1,6263601
GCA_002214395.1,GCA_002214395.1,5277859
GCA_001908835.1,GCA_001908835.1,3147211
GCA_002215215.1,GCA_002215215.1,7783862
GCA_001908435.2,GCA_001908435.2,6070846
GCA_001981245.1,GCA_001981245.1,3453497
GCA_001969325.1,GCA_001969325.1,6195978
GCA_001969345.1,GCA_001969345.1,4291376
GCA_001971685.1,GCA_001971685.1,4129523
GCA_002009235.1,GCA_002009235.1,3495892
GCA_001991055.1,GCA_001991055.1,5634111
GCA_004328665.1,GCA_004328665.1,3905249
GCA_002021755.1,GCA_002021755.1,5890205
GCA_003085735.1,GCA_003085735.1,5404824
GCA_002140055.1,GCA_002140055.1,6371321
GCA_002073635.2,GCA_002073635.2,4829607
GCA_002073995.1,GCA_002073995.1,5842676
GCA_002381385.1,GCA_002381385.1,4364372
GCA_002381365.1,GCA_002381365.1,4349350
GCA_002850435.1,GCA_002850435.1,3336108
GCA_002142655.1,GCA_002142655.1,6124368
GCA_002155145.1,GCA_002155145.1,3584631
GCA_002157205.1,GCA_002157205.1,3667185
GCA_002549795.1,GCA_002549795.1,4053030
GCA_002208765.2,GCA_002208765.2,3108645
GCA_002208745.2,GCA_002208745.2,7075815
GCA_002211785.1,GCA_002211785.1,2197430
GCA_007833495.1,GCA_007833495.1,6368486
GCA_003671955.1,GCA_003671955.1,6011680
GCA_008330565.1,GCA_008330565.1,6989382
GCA_024449095.1,GCA_024449095.1,5023560
GCA_001870665.2,GCA_001870665.2,3899419
GCA_002850295.1,GCA_002850295.1,6185822
GCA_003352065.1,GCA_003352065.1,4190786
GCA_003352085.1,GCA_003352085.1,5176795
GCA_002902905.1,GCA_002902905.1,6648943
GCA_002906455.1,GCA_002906455.1,6171067
GCA_002906475.1,GCA_002906475.1,5425575
GCA_002953115.1,GCA_002953115.1,6297253
GCA_002948105.1,GCA_002948105.1,6172256
GCA_013390345.1,GCA_013390345.1,9059500
GCA_003228315.1,GCA_003228315.1,6845198
GCA_003209315.1,GCA_003209315.1,2895311
GCA_003288315.1,GCA_003288315.1,4203542
GCA_003312585.1,GCA_003312585.1,5217024
GCA_013459835.1,GCA_013459835.1,7252041
GCA_003391375.1,GCA_003391375.1,5784972
GCA_003443535.1,GCA_003443535.1,4405563
GCA_003443575.1,GCA_003443575.1,4188145
GCA_003443555.1,GCA_003443555.1,4160913
GCA_003443595.1,GCA_003443595.1,4038237
GCA_005239365.1,GCA_005239365.1,5245855
GCA_008807695.1,GCA_008807695.1,7085242
GCA_008807715.1,GCA_008807715.1,7080416
GCA_008807675.1,GCA_008807675.1,7087572
GCA_003626975.1,GCA_003626975.1,5912748
GCA_003691485.1,GCA_003691485.1,5743155
GCA_003691505.1,GCA_003691505.1,6424315
GCA_003691545.1,GCA_003691545.1,6418562
GCA_004006175.1,GCA_004006175.1,5080916
GCA_013170745.1,GCA_013170745.1,7194900
GCA_026651645.1,GCA_026651645.1,5225702
GCA_003726935.1,GCA_003726935.1,5976027
GCA_003942025.1,GCA_003942025.1,4760779
GCA_009883895.1,GCA_009883895.1,5456849
GCA_009762325.1,GCA_009762325.1,3934770
GCA_003952405.1,GCA_003952405.1,6700763
GCA_003952425.1,GCA_003952425.1,7372807
GCA_003952545.1,GCA_003952545.1,7168230
GCA_006094435.1,GCA_006094435.1,7221214
GCA_004123675.1,GCA_004123675.1,5036933
GCA_025985505.1,GCA_025985505.1,6188267
GCA_004535885.1,GCA_004535885.1,5137756
GCA_005144905.1,GCA_005144905.1,5074401
GCA_006740765.1,GCA_006740765.1,4380105
GCA_006517275.1,GCA_006517275.1,6186799
GCA_007197555.1,GCA_007197555.1,6449204
GCA_005937845.2,GCA_005937845.2,6316887
GCA_007954585.1,GCA_007954585.1,3781193
GCA_011801415.1,GCA_011801415.1,5097912
GCA_011801435.1,GCA_011801435.1,5246686
GCA_009745915.1,GCA_009745915.1,7075587
GCA_008807375.1,GCA_008807375.1,6056953
GCA_008630635.1,GCA_008630635.1,3561992
GCA_008931805.1,GCA_008931805.1,4760425
GCA_008824165.1,GCA_008824165.1,7351888
GCA_009184745.1,GCA_009184745.1,6005493
GCA_009363355.1,GCA_009363355.1,5889290
GCA_009363415.1,GCA_009363415.1,4501013
GCA_009363455.1,GCA_009363455.1,5880604
GCA_009363615.1,GCA_009363615.1,4632958
GCA_009363715.1,GCA_009363715.1,4560251
GCA_013305625.2,GCA_013305625.2,6802437
GCA_001310575.2,GCA_001310575.2,6268213
GCA_009650135.1,GCA_009650135.1,2346037
GCA_009664835.1,GCA_009664835.1,4832009
GCA_009676865.1,GCA_009676865.1,5877726
GCA_009708195.1,GCA_009708195.1,5879168
GCA_014075275.1,GCA_014075275.1,3603264
GCA_014217705.1,GCA_014217705.1,6055976
GCA_041879055.1,GCA_041879055.1,6295494
GCA_041879285.1,GCA_041879285.1,6301276
GCA_041879295.1,GCA_041879295.1,6050864
GCA_018141045.1,GCA_018141045.1,6992587
GCA_011212705.1,GCA_011212705.1,5634694
GCA_011493005.1,GCA_011493005.1,8848153
GCA_011039955.1,GCA_011039955.1,9323419
GCA_024442155.1,GCA_024442155.1,5500562
GCA_024442175.1,GCA_024442175.1,5258330
GCA_024442195.1,GCA_024442195.1,5926049
GCA_024442215.1,GCA_024442215.1,5422170
GCA_024442235.1,GCA_024442235.1,5532342
GCA_012044895.1,GCA_012044895.1,3972634
GCA_001630725.2,GCA_001630725.2,6656695
GCA_013170805.1,GCA_013170805.1,7689947
GCA_012647205.1,GCA_012647205.1,6690075
GCA_016903635.1,GCA_016903635.1,6847609
GCA_013154935.1,GCA_013154935.1,5445859
GCA_019355435.1,GCA_019355435.1,6181929
GCA_013368735.1,GCA_013368735.1,5623485
GCA_017923085.1,GCA_017923085.1,6945301
GCA_017930355.1,GCA_017930355.1,6947395
GCA_017923175.1,GCA_017923175.1,6950241
GCA_017923275.1,GCA_017923275.1,7019676
GCA_017923375.1,GCA_017923375.1,6868919
GCA_017927795.1,GCA_017927795.1,6868917
GCA_018219415.1,GCA_018219415.1,5037375
GCA_018219435.1,GCA_018219435.1,5097422
GCA_018219455.1,GCA_018219455.1,4991674
GCA_018219155.1,GCA_018219155.1,4731068
GCA_013388395.1,GCA_013388395.1,6371434
GCA_013425825.1,GCA_013425825.1,6499247
GCA_017798205.1,GCA_017798205.1,3252335
GCA_014250155.1,GCA_014250155.1,6607828
GCA_014274185.1,GCA_014274185.1,5263785
GCA_016920955.1,GCA_016920955.1,5180039
GCA_014843375.1,GCA_014843375.1,7367353
GCA_014883875.1,GCA_014883875.1,5851681
GCA_000967465.2,GCA_000967465.2,5436965
GCA_019904195.1,GCA_019904195.1,6188185
GCA_022818765.1,GCA_022818765.1,866396
GCA_015654285.1,GCA_015654285.1,5558698
GCA_046042685.1,GCA_046042685.1,8018220
GCA_015693905.1,GCA_015693905.1,2663031
GCA_023206035.1,GCA_023206035.1,5129412
GCA_023206015.1,GCA_023206015.1,5253312
GCA_018417495.1,GCA_018417495.1,4619889
GCA_019904295.1,GCA_019904295.1,4602224
GCA_028553765.1,GCA_028553765.1,3642172
GCA_023716845.1,GCA_023716845.1,5625376
GCA_022354785.1,GCA_022354785.1,6420499
GCA_016812015.1,GCA_016812015.1,5302819
GCA_016845885.1,GCA_016845885.1,4713455
GCA_017068395.1,GCA_017068395.1,9866560
GCA_020354435.1,GCA_020354435.1,3722441
GCA_017161465.1,GCA_017161465.1,5114391
GCA_023650755.1,GCA_023650755.1,5240591
GCA_023716525.1,GCA_023716525.1,5366162
GCA_023716545.1,GCA_023716545.1,5023509
GCA_023716605.1,GCA_023716605.1,6027800
GCA_023716625.1,GCA_023716625.1,5375031
GCA_023716645.1,GCA_023716645.1,4910167
GCA_023716705.1,GCA_023716705.1,5023509
GCA_023206775.1,GCA_023206775.1,5204348
GCA_024397835.1,GCA_024397835.1,4341109
GCA_024397895.1,GCA_024397895.1,4755298
GCA_024397915.1,GCA_024397915.1,5208773
GCA_018282095.1,GCA_018282095.1,6030410
GCA_019378875.1,GCA_019378875.1,9870030
GCA_047497145.1,GCA_047497145.1,5407561
GCA_018972145.1,GCA_018972145.1,4131101
GCA_019139795.1,GCA_019139795.1,6228218
GCA_024971855.1,GCA_024971855.1,6666046
GCA_000826835.2,GCA_000826835.2,4227039
GCA_019466035.1,GCA_019466035.1,6953246
GCA_019599045.1,GCA_019599045.1,3612261
GCA_025917315.1,GCA_025917315.1,3818310
GCA_025137635.1,GCA_025137635.1,3367659
GCA_025137775.1,GCA_025137775.1,3358177
GCA_025137935.1,GCA_025137935.1,3364108
GCA_025138055.1,GCA_025138055.1,3364776
GCA_025138255.1,GCA_025138255.1,3389944
GCA_025138375.1,GCA_025138375.1,3315516
GCA_025138535.1,GCA_025138535.1,3328941
GCA_025138695.1,GCA_025138695.1,3287787
GCA_025138865.1,GCA_025138865.1,4251935
GCA_025141335.1,GCA_025141335.1,4125530
GCA_025141525.1,GCA_025141525.1,5142735
GCA_025139025.1,GCA_025139025.1,4391804
GCA_025139165.1,GCA_025139165.1,4532546
GCA_025139345.1,GCA_025139345.1,4443538
GCA_025139485.1,GCA_025139485.1,4449613
GCA_025139665.1,GCA_025139665.1,4602657
GCA_025139835.1,GCA_025139835.1,4550682
GCA_025139955.1,GCA_025139955.1,4374948
GCA_025140155.1,GCA_025140155.1,4730960
GCA_025140295.1,GCA_025140295.1,4668291
GCA_025141855.1,GCA_025141855.1,3920310
GCA_025140835.1,GCA_025140835.1,3389549
GCA_025141175.1,GCA_025141175.1,3942835
GCA_025142455.1,GCA_025142455.1,4178771
GCA_025142595.1,GCA_025142595.1,4314694
GCA_025142675.1,GCA_025142675.1,4204626
GCA_025142695.1,GCA_025142695.1,4281685
GCA_025142715.1,GCA_025142715.1,4163548
GCA_025142735.1,GCA_025142735.1,4244751
GCA_025142755.1,GCA_025142755.1,4301253
